Participant_ID,Prompt_Type,Study_Mode,Prompt_Trigger,Time_Window_Start,Time_Window_End,Initial_Prompt_Date,Initial_Prompt_Local_Time,Initial_Prompt_UTC_Offset ,Initial_Prompt_UnixTime,Answer_Status,Reprompt1_Prompt_Date,Reprompt1_Prompt_Local_Time,Reprompt1_Prompt_UnixTime,Reprompt2_Prompt_Date,Reprompt2_Prompt_Local_Time,Reprompt2_Prompt_UnixTime ,Reprompt3_Prompt_Date,Reprompt3_Prompt_Local_Time,Reprompt3_Prompt_UnixTime,Reprompt4_Prompt_Date,Reprompt4_Prompt_Local_Time,Reprompt4_Prompt_UnixTime,Reprompt5_Prompt_Date,Reprompt5_Prompt_Local_Time,Reprompt5_Prompt_UnixTime,Question_Set_Completion_Date,Question_Set_Completion_Local_Time,Question_Set_Completion_UnixTime,Question_Set_Completion_Prompt_Number,Probabilistic_Question_Set_Selected,Number_Of_Questions_Presented,Survey version number,Question_X_ID,Question_X_Text,Question_X_Answer_Text ,Question_X_Answer_Unixtime,PARTICIPANT_ID_TEXT,PARTICIPANT_ID_NUMERIC
afflictedrevenueepilepsy@timestudy_com,EMA_Micro,TIME,RANDOM,6,7,2021-06-23,Wed Jun 23 06:38:01 EDT 2021,GMT-04:00,1624444681827,NeverStarted,,,-1,,,-1,,,-1,,,-1,,,-1,,,-1,-1,,1,-1,feel_sit_1,Feel like sitting less?,-NOT_ANS-,-1,afflictedrevenueepilepsy,9269
afflictedrevenueepilepsy@timestudy_com,EMA_Micro,TIME,RANDOM,6,7,2021-06-23,Wed Jun 23 06:46:02 EDT 2021,GMT-04:00,1624445162849,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2021-06-23,06:46:12.720,1624445172721,1,,1,-1,proc_4,Procrastinating today?,No,1624445168836,afflictedrevenueepilepsy,9269
afflictedrevenueepilepsy@timestudy_com,CS_EMA_Micro,TIME,CONTEXT,6,7,2021-06-23,Wed Jun 23 06:54:04 EDT 2021,GMT-04:00,1624445644269,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2021-06-23,06:54:16.170,1624445656170,1,,1,-1,activity_0,Sedentary 15 min ago?,Yes,1624445652326,afflictedrevenueepilepsy,9269
afflictedrevenueepilepsy@timestudy_com,EMA_Micro,TIME,RANDOM,7,8,2021-06-23,Wed Jun 23 07:12:02 EDT 2021,GMT-04:00,1624446722770,NeverStarted,,,-1,,,-1,,,-1,,,-1,,,-1,,,-1,-1,,1,-1,frust_12,Feeling frustrated?,-NOT_ANS-,-1,afflictedrevenueepilepsy,9269
afflictedrevenueepilepsy@timestudy_com,Trivia_EMA_Micro,TIME,RANDOM,7,8,2021-06-23,Wed Jun 23 07:23:02 EDT 2021,GMT-04:00,1624447382794,NeverStarted,,,-1,,,-1,,,-1,,,-1,,,-1,,,-1,-1,,1,-1,trait_0,Play sports?,-NOT_ANS-,-1,afflictedrevenueepilepsy,9269
afflictedrevenueepilepsy@timestudy_com,EMA_Micro,TIME,RANDOM,7,8,2021-06-23,Wed Jun 23 07:36:01 EDT 2021,GMT-04:00,1624448161424,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2021-06-23,07:36:07.838,1624448167839,1,,1,-1,family_1,With family member(s) now?,No,1624448164566,afflictedrevenueepilepsy,9269
afflictedrevenueepilepsy@timestudy_com,EMA_Micro,TIME,RANDOM,7,8,2021-06-23,Wed Jun 23 07:53:03 EDT 2021,GMT-04:00,1624449183046,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2021-06-23,07:53:11.647,1624449191647,1,,1,-1,frust_12,Feeling frustrated?,No,1624449187799,afflictedrevenueepilepsy,9269
afflictedrevenueepilepsy@timestudy_com,CS_EMA_Micro,TIME,CONTEXT,8,9,2021-06-23,Wed Jun 23 08:23:03 EDT 2021,GMT-04:00,1624450983220,Started,,,-1,,,-1,,,-1,,,-1,,,-1,,,-1,-1,,1,-1,activity_2,Physically active 2 min ago?,-NOT_ANS-,-1,afflictedrevenueepilepsy,9269
afflictedrevenueepilepsy@timestudy_com,EMA_Micro,TIME,RANDOM,8,9,2021-06-23,Wed Jun 23 08:34:03 EDT 2021,GMT-04:00,1624451643041,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2021-06-23,08:34:09.413,1624451649414,1,,1,-1,tense_11,Feeling tense?,No,1624451646156,afflictedrevenueepilepsy,9269
afflictedrevenueepilepsy@timestudy_com,EMA_Micro,TIME,RANDOM,8,9,2021-06-23,Wed Jun 23 08:43:03 EDT 2021,GMT-04:00,1624452183956,Completed,,,-1,,,-1,,,-1,,,-1,,,-1,2021-06-23,08:43:11.150,1624452191150,1,,1,-1,demands_1,Juggling several tasks?,Sort of,1624452187877,afflictedrevenueepilepsy,9269
